32 2082.11 897.675
48 3189.69 2145.02
64 5478.51 2549.88
96 6297.77 3358.24
192 21618 4333.62
256 28789.9 10324.5
384 42799.8 29723.2
512 17436.6 7808.96
768 33115.6 15032
1024 48849.1 28275.5
1536 100698 58230.5
2048 120527 49614.8
3072 106458 34086.5
4096 146335 50259.8
6144 235981 101844
8192 306897 165150
12288 403289 111724
16384 528167 231108
24576 745982 372618
32768 716115 444211
49152 1.65659e+06 596351
