32 2835.25 968.227
48 3385.77 923.52
64 735.907 532.742
96 7626.01 2549.14
128 9907.89 6639.74
192 4405.49 2828.11
256 19424.1 7738.07
384 24824.6 11796.2
512 30445.4 21238.1
768 34053.9 27241
1024 45998.7 28720.5
1536 19228.7 17646.6
2048 19337.4 17077.6
3072 64756.2 45117
4096 69452.6 54948.5
6144 82321.2 73747.1
8192 80407.5 60695.3
12288 88205.5 80136.3
16384 62624 66518.1
24576 71811 70442.5
32768 69136.1 65773.2
49152 79410 62398.7
65536 82143.3 78115.2
98304 86149.3 81053.9
131072 86060.8 82930.6
196608 84275 77362.9
262144 84076.6 76988.1
393216 89672.5 85180.8
524288 90269.6 88259.5
786432 91405.7 90173.6
